team	year	number	position	name	games_played	points	minutes	goals	assists	shots	fouls
Chicago Fire Premier	2012	51	D	Albert, Keaton	4		287			1	4
Chicago Fire Premier	2012	40	D	Albrecht, Mitch	8		516	0	0	0	6
Chicago Fire Premier	2012	66	M	Barajas, Luis	6		478			5	4
Chicago Fire Premier	2012	48	D	Beasley, Peter	11		920	0	0	2	1
Chicago Fire Premier	2012	85	M	Blades, Mark	1		90				
Chicago Fire Premier	2012	32	D	Boxall, Niko	3		270				5
Chicago Fire Premier	2012	38	M	Brindle, Jacob	2		54	0	0	1	0
Chicago Fire Premier	2012	69	F	Calistri, Joey	2	1	90		1	1	1
Chicago Fire Premier	2012	49	M	Ciesiulka, Bryan	12	4	993	1	2	23	2
Chicago Fire Premier	2012	39	D	Cochrane, Alec	4		290				1
Chicago Fire Premier	2012	54	M	Conner, Andrew	4		206				3
Chicago Fire Premier	2012	47	M	Doody, Patrick	5		304	0	0	4	2
Chicago Fire Premier	2012	34	M	Engel, Tyler	10	10	750	4	2	16	3
Chicago Fire Premier	2012	50	GK	Euler, Sam	5		405	0	0	0	0
Chicago Fire Premier	2012	32	D	Figura, Dan	1		90				
Chicago Fire Premier	2012	44	M	Garza, Arturo	4		268			2	2
Chicago Fire Premier	2012	13	GK	Godsey, Jordan	5		405	0	0	0	0
Chicago Fire Premier	2012	38	D	Gooden, Jourdan	2	2	27	1			
Chicago Fire Premier	2012	49	F	Gutierrez, Marco	10	2	124	1	0	1	2
Chicago Fire Premier	2012	40	F	Kanneh, Isaac	4	4	237	1	2	4	2
Chicago Fire Premier	2012	69	M	Keller, Daniel	8		541	0	0	6	3
Chicago Fire Premier	2012	40	M	King, Brendan	2	1	176	0	1	2	3
Chicago Fire Premier	2012	71	M	Mares, Dylan	3		133	0	0	1	1
Chicago Fire Premier	2012	3	M	Masri, Layth	1		3	0	0	0	0
Chicago Fire Premier	2012	51	D	McGuinness, Billy	4		194	0	0	0	1
Chicago Fire Premier	2012	91	M	Medina, Jesus	1		45				
Chicago Fire Premier	2012	46	M	Medina, Luis	4		210	0	0	0	0
Chicago Fire Premier	2012	28	GK	Meves, David	6		540	0	0	0	0
Chicago Fire Premier	2012	62	F	Morgan, Taylor	6	6	512	3	0	11	8
Chicago Fire Premier	2012	66	F	Oliver, Andrew	4	2	326	1		6	1
Chicago Fire Premier	2012	45	D	Petts, Harrison	2	2	172	1	0	4	1
Chicago Fire Premier	2012	51	D	Pothast, Eric	9	2	580	1	0	1	5
Chicago Fire Premier	2012	71	F	Prince, Christopher	5	3	339	1	1	6	3
Chicago Fire Premier	2012	54	M	Ritter, Chris	1		90			2	2
Chicago Fire Premier	2012	66	M	Salmeron, Joel	2		104			2	
Chicago Fire Premier	2012	59	M	Shipp, Harrison	7	4	507	2	0	7	3
Chicago Fire Premier	2012	38	M	Skelly, Tom	7	2	452	1	0	7	14
Chicago Fire Premier	2012	68	D	Tiemstra, David	11		700	0	0	4	8
Chicago Fire Premier	2012	54	F	Torres, Javier	10	4	484	1	2	15	3
Chicago Fire Premier	2012	68	D	Totsch, Sean	7		301	0	0	5	3
Chicago Fire Premier	2012	56	M	Wahl, Brady	11	2	914	1	0	7	18
Chicago Fire Premier	2012	32	M	Weberman, Eric	2		71	0	0	3	0
Chicago Fire Premier	2012	62	D	Wheeler, Trevor	9	1	599	0	1	2	2
Chicago Inferno	2012	7	M	Alvarez, Noel	11	2	880	1	0	22	15
Chicago Inferno	2012	13	M	Clark, Joshua	3		270	0	0	3	6
Chicago Inferno	2012	6	M	Del Toro, Carlos	5	1	377		1	1	6
Chicago Inferno	2012	22	M	Escobedo, Angel	5		55	0	0	0	4
Chicago Inferno	2012	18	M	Floros, Dimitrios	6	1	120	0	1	1	0
Chicago Inferno	2012	23	M	Glidden, Marc	6		300	0	0	2	5
Chicago Inferno	2012	3	F	Gurson, Gordon	15	4	854	2	0	32	4
Chicago Inferno	2012	27	D	Hurwitz, Robert	1		18				
Chicago Inferno	2012	9	D	Knezevic, Vladimir	7		630	0	0	2	9
Chicago Inferno	2012	5	D	Kowal, Michael	6		540				
Chicago Inferno	2012	16	M	Le Seth, Jayson	9	3	761	0	3	5	6
Chicago Inferno	2012	21	D	Letourneau-Mathieu, Francis	14	5	1070	2	1	5	14
Chicago Inferno	2012	8	M	Lopez, Alberto	14	4	852	1	2	20	8
Chicago Inferno	2012	2	D	Mau, John	14	2	1233	0	2	2	7
Chicago Inferno	2012	1	GK	McKeown, Peter	7		630	0	0	0	4
Chicago Inferno	2012	24	D	Munoz, Alex	5		355	0	0	1	6
Chicago Inferno	2012	25	GK	Osborne, Troy	8		720	0	0	0	0
Chicago Inferno	2012	12	F	Oswald, Louie	8	1	301	0	1	4	11
Chicago Inferno	2012	11	F	Piotrowski, Jakub	6	5	451	2	1	17	7
Chicago Inferno	2012	14	D	Poland, Matthew	7		554	0	0	3	0
Chicago Inferno	2012	17	M	Reed, James	4		120	0	0	0	3
Chicago Inferno	2012	19	F	Rigg, Robert	7	2	306	1	0	2	2
Chicago Inferno	2012	10	M	Rolon-Merette, Damiem	15	7	1233	3	1	13	23
Chicago Inferno	2012	15	D	Son, Jonghyun	12		966	0	0	4	13
Chicago Inferno	2012	20	M	Zrnic, Emir	15	14	1236	7	0	30	11
Cincinnati Kings	2012	46	D	Bartlett, Michael	12		1007			1	1
Cincinnati Kings	2012	41	F	Block, Ian	8	4	276	2	0	3	1
Cincinnati Kings	2012	4	M	Clark, Cody	7		498			1	6
Cincinnati Kings	2012	54	D	Dollar, Jamie	6		375			1	2
Cincinnati Kings	2012	8	D	Holmquist, Martin	8		522	0	0	0	4
Cincinnati Kings	2012	50	GK	Huffman, Hunter	10		817	0	0	0	0
Cincinnati Kings	2012	23	D	Isreal, Richardo	3		270	0	0	0	2
Cincinnati Kings	2012	14	F	Kanu, Bryan	6	1	178	0	1	0	0
Cincinnati Kings	2012	22	D	Kaplan, Andrew	9		765	0	0	4	3
Cincinnati Kings	2012	8	M	Lavigne, Ryan	8		448	0	0	3	2
Cincinnati Kings	2012	31	M	Lax, Dylan	12	2	779	1	0	6	12
Cincinnati Kings	2012	18	M	Listo, Daniel	8		380			2	1
Cincinnati Kings	2012	19	M	McDonald, Cian	13	3	920	1	1	15	15
Cincinnati Kings	2012	46	D	Montgomery, Andrew	13	4	944	2	0	5	1
Cincinnati Kings	2012	40	GK	Niklasson, Hans Anton	8		664	0	0	0	0
Cincinnati Kings	2012	24	D	O'Reilly, Ian	3	2	270	1		1	6
Cincinnati Kings	2012	1	M	Powell, Leon	10	14	772	7	0	19	12
Cincinnati Kings	2012	13	M	Sampson, Timothy	8	1	608		1	5	8
Cincinnati Kings	2012	37	F	Sharpe, Andre	7		416	0	0	3	6
Cincinnati Kings	2012	25	F	Spencer, Luke	11	6	754	2	2	17	8
Cincinnati Kings	2012	39	M	Stelmak, Branden	16	16	1335	7	2	23	15
Cincinnati Kings	2012	4	M	Tanner, Colton	2		81				
Cincinnati Kings	2012	1	D	Vollmer, James	10		830			2	2
Cincinnati Kings	2012	15	M	Walker, Ashani	1	1	81		1	2	
Cincinnati Kings	2012	21	F	Williams, Stephen	7	13	454	5	3	25	5
Cincinnati Kings	2012	33	M	Williams, Jonathan	10		491	0	0	1	1
Cincinnati Kings	2012	12	D	Willoughby, Edward	2		118				
Cincinnati Kings	2012	24	D	Wilson, Shaunovan	8		711			3	6
Forest City London	2012	9	F	Almeida, Lucas	11	7	550	3	1	10	5
Forest City London	2012	11	F	Ayris, Jordan	11	23	722	9	5	26	18
Forest City London	2012	7	M	Blackburn, Samuel	1		21			3	2
Forest City London	2012	10	F	Da Cruz, Bryan	14	6	828	2	2	22	8
Forest City London	2012	4	D	DeZorzi, Rene	14		1061	0	0	4	13
Forest City London	2012	28	D	Dillon, Chris	16	7	1260	3	1	8	8
Forest City London	2012	16	M	Elias, Matthew	4		25				
Forest City London	2012	12	D	Garza, Geraldo	4		114	0	0	1	2
Forest City London	2012	20	M	Gourgel, Nuno	15		988	0	0	12	14
Forest City London	2012	9	F	Haworth, Carl	7	12	565	5	2	24	4
Forest City London	2012	1	GK	Haynes, Mark	2		180	0	0	0	0
Forest City London	2012	24	M	Hemming, Tyler	15	2	1350	1	0	12	17
Forest City London	2012	2	D	Hughes, Joshua	16	1	1150	0	1	4	8
Forest City London	2012	15	D	Ivanovich, Jovan	3		181				1
Forest City London	2012	45	F	Lange, Martin	16	8	1218	2	4	21	13
Forest City London	2012	5	D	Lewis, Alex	9		182	0	0	3	1
Forest City London	2012	18	M	McFall, Connor	1		6			2	
Forest City London	2012	3	M	Ogilvie, Gary	15	3	1201	0	3	9	18
Forest City London	2012	8	M	Owens, Thomas	15	6	1350	2	2	36	18
Forest City London	2012	30	GK	Richardson, Reece	13		1170	0	0	0	1
Forest City London	2012	24	D	Schneebeli, Aaron	5	1	281		1		2
Forest City London	2012	17	M	Spearman, Denver	15	5	1046	1	3	15	7
Hamilton FC Rage	2012	19	M	Barsalona, Matthew	5		228	0	0	3	0
Hamilton FC Rage	2012	7	M	Bennett, Josh	16	2	1203	0	2	8	15
Hamilton FC Rage	2012	11	D	Bond, Adam	5	1	109	0	1	4	1
Hamilton FC Rage	2012	16	M	Brown, Chris	8		327	0	0	4	4
Hamilton FC Rage	2012	15	F	Cabrilo, Miroslav	16	7	1011	3	1	33	20
Hamilton FC Rage	2012	20	D	Camillo, Adam	15	2	1325	0	2	8	7
Hamilton FC Rage	2012	26	D	Dhillon, Kevin	7		358	0	0	2	5
Hamilton FC Rage	2012	21	M	Ellis, Khody	12	6	322	2	2	4	3
Hamilton FC Rage	2012	14	F	Ellis, Lewis	10	4	462	1	2	7	6
Hamilton FC Rage	2012	23	M	Ferguson, Andrew	11	3	533	1	1	11	10
Hamilton FC Rage	2012	20	M	Gennaccaro, Marco	5		129	0	0	0	1
Hamilton FC Rage	2012	10	M	Grocott, William	16	11	1376	3	5	32	19
Hamilton FC Rage	2012	1	GK	Hurley, Conor	10		888	0	0	0	0
Hamilton FC Rage	2012	12	D	Karafilov, Christopher	3		214	0	0	2	1
Hamilton FC Rage	2012	6	M	Keely, Shane	15		1238	0	0	9	16
Hamilton FC Rage	2012	5	D	McConville, Garret	16	5	1434	2	1	6	11
Hamilton FC Rage	2012	8	M	McCoubrey, Scott	15	7	1178	2	3	24	13
Hamilton FC Rage	2012	2	M	Powell, Stephen	15	4	1270	2	0	8	12
Hamilton FC Rage	2012	9	F	Reilly, Mark	16	16	612	7	2	11	12
Hamilton FC Rage	2012	18	M	Seymour, Parker	1		52	0	0	0	1
Hamilton FC Rage	2012	13	GK	Silveira, Justin	7		552	0	0	0	1
Hamilton FC Rage	2012	17	M	Velasevic, Filip	5		169	0	0	0	2
Hamilton FC Rage	2012	4	M	Warburton, Jack	10		742	0	0	3	10
Hamilton FC Rage	2012	3	D	Wynter, Tevin	1		23	0	0	1	1
Michigan Bucks	2012	21	M	Bahner, Matthew	10	7	345	2	3	7	3
Michigan Bucks	2012	19	D	Barson, Chad	8		675	0	0	3	7
Michigan Bucks	2012	9	M	Boyden, Nathaniel	15	10	1261	4	2	20	12
Michigan Bucks	2012	7	M	Caldwell, Scott	4	2	360	1	0	3	4
Michigan Bucks	2012	14	M	Catalano, Thomas	16	22	1365	5	12	32	18
Michigan Bucks	2012	2	D	Cope, Kevin	15	8	1246	4	0	14	8
Michigan Bucks	2012	18	M	Crnkic, Nermin	8	9	545	4	1	20	11
Michigan Bucks	2012	23	M	Dillon, Joseph	1		90				1
Michigan Bucks	2012	24	D	Gallego, Bryan	1		90			1	2
Michigan Bucks	2012	13	D	Givens, Stewart	15	6	1070	2	2	14	6
Michigan Bucks	2012	16	F	Grant, Anthony	13	17	732	7	3	30	7
Michigan Bucks	2012	1	GK	Grinwis, Adam	9		810	0	0	0	1
Michigan Bucks	2012	11	D	Harris, Sebastian	13	4	1170	1	2	9	14
Michigan Bucks	2012	20	D	Hintz, Adam	10	1	451	0	1	0	4
Michigan Bucks	2012	3	D	Keener, Ryan	1		6			1	
Michigan Bucks	2012	26	M	Lipari, Miche'le	4		84			1	3
Michigan Bucks	2012	6	M	Miller, Ethan	8		233	0	0	3	6
Michigan Bucks	2012	17	F	Miller, Steven	10	3	437	1	1	16	3
Michigan Bucks	2012	12	M	Ogunyemi, Bim	5		241	0	0	6	5
Michigan Bucks	2012	8	M	Omekanda, Simon	10	2	431	0	2	8	5
Michigan Bucks	2012		D	Opare, Kofi	1		90				1
Michigan Bucks	2012	27	D	Robinson, Nathaniel	10		727	0	0	6	10
Michigan Bucks	2012	4	D	Sass, Justin	14	3	862	1	1	2	6
Michigan Bucks	2012	5	F	Schmitt, Thomas	1		12			1	1
Michigan Bucks	2012	15	F	St. Louis, Stefan	9	8	485	3	2	18	12
Michigan Bucks	2012	25	M	Steinberger, Zach	16	15	1050	6	3	17	10
Michigan Bucks	2012	30	GK	Teepen, Sean	8		636	0	0	1	0
Michigan Bucks	2012	10	F	Uzoigwe, Kenny	13	12	435	5	2	19	7
River City Rovers	2012	19	M	Acosta, Miguel	13	1	707	0	1	11	10
River City Rovers	2012	22	M	Bayse, Cameron	1		15				
River City Rovers	2012	33	GK	Brown, Oliver	2		180	0	0	0	0
River City Rovers	2012	18	D	Bueno, Patrick	2		79				
River City Rovers	2012	24	M	Del Piccolo, Paolo	1	2	90	1	0	3	1
River City Rovers	2012	8	D	Downey, Dustin	15	4	1265	1	2	4	4
River City Rovers	2012	15	D	Edward, Albert	9		473	0	0	1	4
River City Rovers	2012	5	D	Farrell, Andrew	5		442	0	0	6	2
River City Rovers	2012	14	M	Fridal, Jon	3		73			1	1
River City Rovers	2012	11	M	Gonya, Lwandiso	10	6	370	3	0	7	2
River City Rovers	2012	10	M	Gumede, TwoBoy	12		903	0	0	5	2
River City Rovers	2012	1	GK	Hafling, Taylor	6		507	0	0	0	0
River City Rovers	2012	4	M	Hairston, Marcus	7		279	0	0	2	3
River City Rovers	2012	2	M	Harkenrider, Kegan	7		509	0	0	7	8
River City Rovers	2012	5	D	Haywood, Timothy	13	2	986	1	0	3	12
River City Rovers	2012	24	M	Khan, Suleiman	5		294	0	0	1	8
River City Rovers	2012	17	M	Little, Nick	8	2	387	1	0	8	3
River City Rovers	2012	11	F	Lobbo, Micheal	1		10	0	0	0	0
River City Rovers	2012	7	F	Manga, Pierre	2		32				
River City Rovers	2012	6	D	May, Peter	15	3	920	1	1	3	10
River City Rovers	2012	7	M	Mfeka, Lindokuhle	4	3	211	1	1	7	3
River City Rovers	2012	11	M	Murphy, Benjamin	2		96				
River City Rovers	2012	21	D	Phiri, Duke	4		29	0	0	0	0
River City Rovers	2012	16	M	Richards, Kyle	13	6	1000	1	4	6	8
River City Rovers	2012	13	D	Sefer, Dino	11		527	0	0	2	4
River City Rovers	2012	3	D	Shuck, Bradley	8		692	0	0	1	8
River City Rovers	2012	4	M	Smith, Ryan	14	13	1251	3	7	21	8
River City Rovers	2012	22	GK	Soyka, Matthew	8		663	0	0	0	1
River City Rovers	2012	25	F	Spurr, Ryan	1		8				
River City Rovers	2012	7	M	Stankovic, Aljosa	11		490	0	0	6	9
River City Rovers	2012	21	F	Terry, Dylan	2		85			1	
River City Rovers	2012	9	F	Tufty, Dillon	10	21	780	9	3	21	11
River City Rovers	2012	23	D	Weiss, Hezekiah	10		581	0	0	3	2
River City Rovers	2012	3	D	White, Tyler	8	4	682	2	0	3	11
Toronto Lynx	2012	17	D	Bingham, Jadon	10		295	0	0	1	6
Toronto Lynx	2012	14	F	Costa, Jonathan	5		118			1	3
Toronto Lynx	2012	6	D	Crawford, Eric	14	1	1260	0	1	4	18
Toronto Lynx	2012	13	M	Derayeh, Andrew	16		1267	0	0	10	13
Toronto Lynx	2012	10	M	Doran, Anthony	11	2	511	1	0	7	11
Toronto Lynx	2012	20	D	Eisses, Cameron	8	2	199	1		2	1
Toronto Lynx	2012	15	F	Galvani, James	15	17	1215	8	1	22	20
Toronto Lynx	2012	17	F	Gordon, Justin	6		141	0	0	3	6
Toronto Lynx	2012	4	D	Home, Callum	13	6	1099	3	0	11	20
Toronto Lynx	2012	14	M	Iannacito, Daniel	10		630	0	0	7	11
Toronto Lynx	2012	3	D	James, Al	2		92				3
Toronto Lynx	2012	3	D	Karpiel, Hubert	2		61				
Toronto Lynx	2012	8	M	McKenna, Aaron	16	2	1396	0	2	16	18
Toronto Lynx	2012	19	M	McLeod, Ryan	2		13	0	0	1	0
Toronto Lynx	2012	6	D	McNamara, Konner	6		540	0	0	7	7
Toronto Lynx	2012	21	M	Novak, Anthony	1		17				
Toronto Lynx	2012	20	D	Parolini, Jonathan	14		979	0	0	5	9
Toronto Lynx	2012	16	F	Portillo, Joshua	7	7	414	2	3	9	2
Toronto Lynx	2012	18	M	Ribeiro, Randy	8	2	341	1	0	2	6
Toronto Lynx	2012	21	M	Risto, Lukas	1		28				3
Toronto Lynx	2012	0	GK	Silva, Matthew	5		377				
Toronto Lynx	2012	2	D	Smith, Terence	14		1185	0	0	3	5
Toronto Lynx	2012	14	M	Stevenson, Blair	9	1	193	0	1	1	3
Toronto Lynx	2012	0	GK	Ur, Ben	12		1063	0	0	1	2
Toronto Lynx	2012	9	F	Veidman, Leigh	14	9	1245	4	1	22	22
Toronto Lynx	2012	7	F	Wilde, Mackenzie	13	5	747	1	3	16	12
Des Moines Menace	2012	5	M	Amaral, Benito	4		274	0	0	2	4
Des Moines Menace	2012	28	GK	Audergon, Xavier	1		90	0	0	0	0
Des Moines Menace	2012	27	F	Bales, Charles	7	7	361	2	3	7	4
Des Moines Menace	2012	26	M	Barnes, Zachery	1		52				
Des Moines Menace	2012	7	F	Beresford, Brandon	2		135	0	0	3	3
Des Moines Menace	2012	29	GK	Billings, Brian	2		180	0	0	0	0
Des Moines Menace	2012	25	D	Brown, Jake	1		88	0	0	1	0
Des Moines Menace	2012	20	F	Collins, Dakota	3	2	97	0	2	3	1
Des Moines Menace	2012	7	F	Da Silva, Philip	14	1	839	0	1	17	9
Des Moines Menace	2012	6	D	Diem, Taylor	13	1	975	0	1	9	10
Des Moines Menace	2012	8	M	Fricke, Brandon	14	3	1260	1	1	4	10
Des Moines Menace	2012	11		Hayden, Austin	1		3	0	0	0	0
Des Moines Menace	2012	20	M	Jupic, Husref	5	6	427	3	0	11	2
Des Moines Menace	2012	26	D	Kallman, Brent	6	5	470	2	1	3	5
Des Moines Menace	2012	15	F	Kiarash, Kasra	3	4	134	2	0	9	4
Des Moines Menace	2012	10	M	Kowal, Maksym	10	2	565	1	0	10	11
Des Moines Menace	2012	5	F	Kyei, Jeffrey	10	2	358	1	0	4	5
Des Moines Menace	2012	18	M	LaGrassa, Matt	2		44	0	0	0	1
Des Moines Menace	2012	19	D	Laetti, Risto	8	2	434	1	0	4	3
Des Moines Menace	2012	17	D	Lawal, Jubril	10	1	746	0	1	19	16
Des Moines Menace	2012	18	M	Lopez, Alex	9	2	385	1	0	5	7
Des Moines Menace	2012	16	D	Lopez Mochon, Javier	15	5	1335	2	1	12	16
Des Moines Menace	2012	26	F	Macadam, Jonathan	8	1	382	0	1	5	7
Des Moines Menace	2012	14	M	Makh, Jagdeep	3		126	0	0	4	4
Des Moines Menace	2012	27	D	Martinez, Jonathan	4	2	271	1	0	6	3
Des Moines Menace	2012	18	F	McColl, Gary	3		115	0	0	0	2
Des Moines Menace	2012	18	F	McCrary, Carlos	1		7	0	0	0	0
Des Moines Menace	2012	11	M	McDaniel, Logan	14	15	1220	5	5	30	8
Des Moines Menace	2012	15	M	Mendez, Logan	2		133	0	0	2	1
Des Moines Menace	2012	24	M	Metzemaekers, Thomas	3		69	0	0	1	2
Des Moines Menace	2012	22	M	Moloto, Lebogang	9	5	780	1	3	28	9
Des Moines Menace	2012	1	GK	Obando, Jhojan	6	1	540	0	1	0	1
Des Moines Menace	2012	3	D	Ortinau, Justin	3		108	0	0	1	1
Des Moines Menace	2012	5	D	Parato, David	2		44	0	0	0	1
Des Moines Menace	2012	4	D	Pearson, Jack	7	3	597	1	1	3	9
Des Moines Menace	2012	12	D	Piffer, Luis	9	5	707	2	1	10	7
Des Moines Menace	2012	15	M	Ramos, Renan	2		106	0	0	0	0
Des Moines Menace	2012	27	F	Schmoker, Jordan	5	6	178	3	0	3	3
Des Moines Menace	2012	7	M	Schmoker, Adam	4		59	0	0	1	3
Des Moines Menace	2012	14	M	Silveira, Gabriel	8	2	319	0	2	5	2
Des Moines Menace	2012	15	F	Unwin, Michael	2	1	135	0	1	5	2
Des Moines Menace	2012	1	GK	Viscosi, Jonathan	6		540	0	0	0	0
Des Moines Menace	2012	5	F	Williams, Otis	1		45			1	
Kansas City Brass	2012	1	GK	Allen, Brendan	8		666	0	0	0	0
Kansas City Brass	2012	1	GK	Angevine, Scott	4		360	0	0	0	0
Kansas City Brass	2012	21	F	Balthazar, Zachary	7	8	505	4	0	28	8
Kansas City Brass	2012	2	D	Bowlin, Taylor	15	4	1086	2	0	9	8
Kansas City Brass	2012	19	M	Braverman, Samuel	2		76				1
Kansas City Brass	2012	18	M	Brock, Tanner	11		404	0	0	2	5
Kansas City Brass	2012	23	M	Bullard, Jaymie	10		764	0	0	1	4
Kansas City Brass	2012	14	M	Catharino, Thyago	5		161	0	0	6	1
Kansas City Brass	2012	12	GK	Drambour, Alex	6		326	0	0	0	0
Kansas City Brass	2012	25	M	Golfetti, Cesar	4		88	0	0	2	3
Kansas City Brass	2012	16	F	Green, Troy	6		180	0	0	4	3
Kansas City Brass	2012	10	M	Green, Jordan	15	26	1331	7	12	20	16
Kansas City Brass	2012	9	F	Greig, Kyle	16	13	1283	5	3	36	9
Kansas City Brass	2012		D	Hennessy, Ryan	1		90				2
Kansas City Brass	2012	1	GK	Martin, Kyle	1		90	0	0	0	0
Kansas City Brass	2012	11	M	McDevitt, Matthew	11	9	662	4	1	25	13
Kansas City Brass	2012	13	F	McDonald, Nick	8	4	381	2	0	10	6
Kansas City Brass	2012	4	D	Nechvatal, Peter	15	2	1350	1	0	5	14
Kansas City Brass	2012		D	Newman, Chad	1		45	0	0	0	1
Kansas City Brass	2012	25	F	O'Connor, Jack	14	1	580	0	1	2	2
Kansas City Brass	2012	5	D	Oakley, Michael	3	1	174		1	1	5
Kansas City Brass	2012	6	D	Oliver, Paul	11	2	941	1	0	7	11
Kansas City Brass	2012	20	M	Perez Macias, Ruben	9		582	0	0	6	8
Kansas City Brass	2012	8	D	Prather, Cole	16	2	1338	0	2	12	16
Kansas City Brass	2012	15	M	Priore De Alemeida, Fabio	6		170	0	0	2	6
Kansas City Brass	2012	7	F	Remmich, Trent	2	1	69	0	1	0	1
Kansas City Brass	2012	3	F	Rideout, Jordan	5	2	285	1	0	11	6
Kansas City Brass	2012		M	Rivas, Rodrigo	2		80	0	0	0	2
Kansas City Brass	2012	17	M	Robinson, Ryan	15	6	1197	3	0	12	16
Kansas City Brass	2012	14	D	Smith, Jonathon	9	1	593	0	1	1	5
Real Colorado Foxes	2012	22	M	Abdulgasem, Anis	3	1	48		1		
Real Colorado Foxes	2012	4	M	Bell, Austin	1		9	0	0	0	0
Real Colorado Foxes	2012	10	M	Chapleski, Cole	5	2	260	1	0	2	6
Real Colorado Foxes	2012	20	F	Cheever, Jeff	5		202	0	0	6	0
Real Colorado Foxes	2012	21	F	Clendening, Luigi	10	8	686	4	0	21	6
Real Colorado Foxes	2012	20	F	Copeland, Sterling	5		353	0	0	7	7
Real Colorado Foxes	2012	11	F	Davies, Peter	4		91	0	0	0	1
Real Colorado Foxes	2012	17	M	Derschang, Robbie	6	3	455		3	7	
Real Colorado Foxes	2012	3	D	Donaldson, Lorne	16	4	1318	2	0	18	9
Real Colorado Foxes	2012	19	M	Dwyer, Dan	11	4	507	2	0	7	12
Real Colorado Foxes	2012	22	F	Eubanks, Joseph	2	4	167	2		8	1
Real Colorado Foxes	2012	9	M	Freeman, Patrick	9		526	0	0	3	5
Real Colorado Foxes	2012	22	M	Harrison, Collin	2		83				2
Real Colorado Foxes	2012	6	D	Helster, Sean	1		73				
Real Colorado Foxes	2012	15	D	Kemp, Taylor	6		474	0	0	10	6
Real Colorado Foxes	2012	6	M	Lind, Michael	12	4	974	2	0	11	3
Real Colorado Foxes	2012	9	M	Lobdell, Mitch	2		180				2
Real Colorado Foxes	2012	2	D	Lorch, Jason	2		107				
Real Colorado Foxes	2012	16	M	Madigan, Joseph	7	4	585	2	0	10	5
Real Colorado Foxes	2012	12	F	Ogunmodede, Oluwaseun	2		13				
Real Colorado Foxes	2012	10	F	Ortinau, Justin	2		179			2	4
Real Colorado Foxes	2012	18	D	Page-Belknap, Zach	2		180				1
Real Colorado Foxes	2012	1	GK	Perez, Roberto	5		314	0	0	0	0
Real Colorado Foxes	2012	1	GK	Rosales, Miguel	13		1126	0	0	1	0
Real Colorado Foxes	2012	9	D	Rossi, Levi	6	3	495	1	1	7	3
Real Colorado Foxes	2012	2	D	Sandoval, Sean	12		1025	0	0	0	6
Real Colorado Foxes	2012	17	M	Schafer, Isaiah	10	2	731	1	0	12	13
Real Colorado Foxes	2012	9	M	Tarnoczi, Alex	10	5	605	2	1	16	7
Real Colorado Foxes	2012	8	M	Thompson, Craig	12		1070	0	0	20	8
Real Colorado Foxes	2012	14	M	Tormoehlen, Adam	5		265			1	
Real Colorado Foxes	2012	5	M	Velez, Santiago	12	2	579	1	0	3	8
Real Colorado Foxes	2012	12	D	Venter, Kyle	11		963	0	0	3	3
Real Colorado Foxes	2012	7	D	Zelin III, Robert	15		1270	0	0	4	13
Springfield Demize	2012	3	D	Baldy-Gray, Melvin	2		17				1
Springfield Demize	2012	17	F	Barbero, Gerard	12	5	1044	1	3	6	15
Springfield Demize	2012	0	GK	Becerra, Israel	9		632	0	0	0	1
Springfield Demize	2012	4	D	Bray, Matt	5	1	356	0	1	1	3
Springfield Demize	2012	14	M	Clark, Jared	9	1	565	0	1	1	4
Springfield Demize	2012	23	M	Edmond, Elton	14	7	576	3	1	6	16
Springfield Demize	2012	9	F	Esparza, Jose	12	7	866	3	1	6	9
Springfield Demize	2012	25	F	Fitch, Joseph	3	2	47	1			1
Springfield Demize	2012	7	D	Gow, Micheal	1		29				
Springfield Demize	2012	4	M	Gross, James	2		29				
Springfield Demize	2012	20	M	Helmrich, Colin	15	13	1146	5	3	12	18
Springfield Demize	2012	7	M	Lawrence, John	2		99				
Springfield Demize	2012	8	M	Levenson, Matthew	3		90				1
Springfield Demize	2012	13	M	Martin, Eric	11	6	699	3	0	9	13
Springfield Demize	2012	15	F	Mohensen, Daniel	3		25			1	
Springfield Demize	2012	14	M	Nagel, Alec	9	2	547	1		2	11
Springfield Demize	2012	3	F	Narvaez, Martin	4	3	230	1	1	1	3
Springfield Demize	2012	24	D	Percovich, Luis	2		87				
Springfield Demize	2012	7	M	Petite, Matthieu	9	1	249		1		4
Springfield Demize	2012	14	M	Quesada, Alfredo	11	4	784	1	2	3	10
Springfield Demize	2012	9	F	Ramero, Kaleb	1		1				
Springfield Demize	2012	5	D	Restrepo, Sebastian	14		1163	0	0	1	3
Springfield Demize	2012	21	M	Roberts, Jack	10		853	0	0	9	12
Springfield Demize	2012	8	F	Robinson, Ryan	8		295	0	0	5	6
Springfield Demize	2012	18	D	Rodriguez, Thomas	13	3	874	1	1	3	9
Springfield Demize	2012	6	F	Rogers, Jaxn	3		13				
Springfield Demize	2012	15	M	Rogers, Craig	16	2	1273	0	2	7	7
Springfield Demize	2012	11	D	Rutledge, Jacob	11		605	0	0	1	7
Springfield Demize	2012	24	F	Shaw, Steve	8	2	376	1	0	4	2
Springfield Demize	2012	2	D	Silva, Mateus	4	2	305	1		1	2
Springfield Demize	2012	0	GK	Spangenberg, Trevor	9		763				
Springfield Demize	2012	2	D	Thomas, Joshua	4	2	93	1	0	4	2
