Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
4/13/2007	Puerto Rico Islanders	Rochester Rhinos	2	1	6,864	League Game	LGE			As Scored	0	0	
4/15/2007	Miami FC	Rochester Rhinos	0	1	100	League Game	LGE			As Scored	0	0	
4/20/2007	Charleston Battery	Minnesota Thunder	0	0	4,774	League Game	LGE			As Scored	0	0	
4/20/2007	Charlotte Eagles	Crystal Palace Baltimore	4	1	2,019	League Game	LGE			As Scored	0	0	
4/21/2007	Atlanta Silverbacks	Montreal Impact	2	2	2,320	League Game	LGE			As Scored	0	0	
4/21/2007	Carolina Railhawks	Minnesota Thunder	1	1	6,327	League Game	LGE			As Scored	0	0	
4/21/2007	Harrisburg City Islanders	Wilmington Hammerheads	1	1	2,833	League Game	LGE			As Scored	0	0	
4/21/2007	Portland Timbers	Puerto Rico Islanders	3	1	7,805	League Game	LGE			As Scored	0	0	
4/21/2007	Richmond Kickers	Cincinnati Kings	2	0	3,426	League Game	LGE			As Scored	0	0	
4/21/2007	Vancouver Whitecaps	Seattle Sounders	1	0	4,948	League Game	LGE			As Scored	0	0	
4/27/2007	Atlanta Silverbacks	Minnesota Thunder	3	1	2,370	League Game	LGE			As Scored	0	0	
4/27/2007	Bermuda Hogges	Harrisburg City Islanders	0	1	1,666	League Game	LGE			As Scored	0	0	
4/27/2007	Charlotte Eagles	Western Mass Pioneers	2	0	771	League Game	LGE			As Scored	0	0	
4/27/2007	Miami FC	Seattle Sounders	3	2	853	League Game	LGE			As Scored	0	0	
4/28/2007	Carolina Railhawks	Atlanta Silverbacks	0	0	5,082	League Game	LGE			As Scored	0	0	
4/28/2007	Charleston Battery	Montreal Impact	2	3	4,328	League Game	LGE			As Scored	0	0	
4/28/2007	Cincinnati Kings	Cleveland City Stars	1	2	1,598	League Game	LGE			As Scored	0	0	
4/28/2007	Richmond Kickers	New Hampshire Phantoms	4	0	2,218	League Game	LGE			As Scored	0	0	
4/28/2007	Vancouver Whitecaps	California Victory	2	2	4,931	League Game	LGE			As Scored	0	0	
4/28/2007	Wilmington Hammerheads	Western Mass Pioneers	1	2	4,276	League Game	LGE			As Scored	0	0	
4/29/2007	Bermuda Hogges	Harrisburg City Islanders	0	1	930	League Game	LGE			As Scored	0	0	
4/29/2007	Puerto Rico Islanders	Seattle Sounders	0	0	4,215	League Game	LGE			As Scored	0	0	
5/4/2007	Carolina Railhawks	Puerto Rico Islanders	0	0	3,513	League Game	LGE			As Scored	0	0	
5/4/2007	Crystal Palace Baltimore	Cleveland City Stars	0	4	486	League Game	LGE			As Scored	0	0	
5/4/2007	Rochester Rhinos	Vancouver Whitecaps	1	1	9,107	League Game	LGE			As Scored	0	0	
5/5/2007	Atlanta Silverbacks	Carolina Railhawks	2	0	1,977	League Game	LGE			As Scored	0	0	
5/5/2007	Crystal Palace Baltimore	Cincinnati Kings	0	1	278	League Game	LGE			As Scored	0	0	
5/5/2007	Harrisburg City Islanders	Charlotte Eagles	4	3	1,088	League Game	LGE			As Scored	0	0	
5/5/2007	Miami FC	Montreal Impact	0	1	520	League Game	LGE			As Scored	0	0	
5/5/2007	Seattle Sounders	Portland Timbers	1	0	8,247	League Game	LGE			As Scored	0	0	
5/5/2007	Western Mass Pioneers	New Hampshire Phantoms	1	1	2,497	League Game	LGE			As Scored	0	0	
5/5/2007	Wilmington Hammerheads	Richmond Kickers	1	2	2,135	League Game	LGE			As Scored	0	0	
5/6/2007	Charleston Battery	Rochester Rhinos	1	1	2,975	League Game	LGE			As Scored	0	0	
5/6/2007	Minnesota Thunder	Vancouver Whitecaps	1	2	3,641	League Game	LGE			As Scored	0	0	
5/9/2007	Bermuda Hogges	Cincinnati Kings	1	1	684	League Game	LGE			As Scored	0	0	
5/11/2007	Charlotte Eagles	Wilmington Hammerheads	2	0	1,873	League Game	LGE			As Scored	0	0	
5/11/2007	New Hampshire Phantoms	Harrisburg City Islanders	0	0	1,012	League Game	LGE			As Scored	0	0	
5/11/2007	Portland Timbers	Seattle Sounders	2	2	5,722	League Game	LGE			As Scored	0	0	
